Prepared: 03-MAR-2026 13:50 GMT,,,,,,,,,
MSN,Noun,Bulk Issue,Process Name,Local Process Name,Dist %,Max On Hand,Shop Code,Org Symbol,
9150009359807,"HYDRAULIC FLUID,PETROLEUM BASE, RED",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150009448953,"GREASE, AIRCRAFT",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150009857099,"LUBRICATING OIL,AIRCRAFT TURBINE ENGINE,SYNTHETIC",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150009857247,"GREASE, AIRCRAFT & INSTRUMENT",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150010369042,"LUBRICANT, GEAR AND HYDRAULIC OIL",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150012539619-1,"LUBRICANT, SYNTHETIC OIL, METAL SURFACE",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150013396225-1,"LUBRICANT, OIL, GENERAL PURPOSE",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150014996642,"LUBRICANT, GREASE, AIRCRAFT & INSTRUMENT",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150014996648,"LUBRICANT, GREASE, AIRCRAFT & INSTRUMENT",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
8030PHM00001008,"SEALANT, LATEX CAULK, WHITE",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,022A-Z5,MXSG,
8030PHM00001008,"SEALANT, LATEX CAULK, WHITE",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,200,022A-Z6,MXSG,
7930PHM00513567,"CARE CARE PRODUCT, WASH POWDER",N,"Cleaning- mechanical, NOC",EQUIPMENT CLEANING,100,60,999A-Z26,72 LRS,
9150PHM00516094,"LUBRICANT, GEAR OIL, 320",N,"Equipment repair/prev. maint., NOC",PM/RM OF EQUIPMENT,100,125,025A-Z01,OC-ALC,
6850015011555,"SEALER, CHEMICAL, GRAY/GREY",N,Adhering/bonding/sealing - brush/dobbing,AIRCRAFT REPAIR-SEALANTS/ADHESIVES,100,7,158A-Z01,552 MXS,
6850015011555,"SEALER, CHEMICAL, GRAY/GREY",N,"Coating/painting operations, NOC",PAINTING,100,125,428B-Z01,NAVY,
6850015011555,"SEALER, CHEMICAL, GRAY/GREY",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
9150PHM00000667,"LUBRICANT, OIL, AVIATION",N,"Vehicle repair, multiple operations",VEHICLE MAINTENANCE,100,60,999A-Z26,72 LRS,
5610PHM00003084,"CONCRETE, DRY MIX",N,"Facility maintenance, general","Facility maintenance, general",50,150,429B-Z01,CSCW-1,
6850PHM00014202,"ANTI-FREEZE, AUTOMOTIVE",N,"Vehicle repair, multiple operations",VEHICLE MAINTENANCE,100,36,999A-Z26,72 LRS,
6850PHM00073090,"SOLVENT CLEANER, CARB/CHOKE, AEROSOL",N,"Equipment repair/prev. maint., NOC",EQUIPMENT MAINTANENCE,100,12,111B-Z01,72 SPTG/SV,
8010PHM00515620,"COATING, AUTOMOTIVE, BUMPER, GRAY, AEROSOL",N,"Vehicle repair, multiple operations",VEHICLE MAINTENANCE,50,125,999A-Z26,72 LRS,
6850PHM00032027,"BUFFER SOLUTION, SULFATE",N,"Laboratory operations, NOC",LABORATORY OPERATIONS,100,125,999B-Z61,72 ABW/CECOPM,
6850PHM00513838,"PH BUFFER, WATER, ANALYTICAL TEST STANDARD, KIT",N,Multiple operations,MULTIPLE OPERATIONS,100,125,054H-Z01,72 ABW,
6810PHM00513935,ALUMINUM ICP STANDARD 1000 PPM,N,Physical testing,LIQUID ANALYSIS,100,125,054C-Z01,MXSG,
3439000044548,"WELDING ELECTRODE, NICKEL ALLOY, .03"" DIA",N,"Welding, multiple operations",WELDING/BRAZING/CUTTING/SOLDERING,100,125,156A-Z01,552 MXS,
8010013316109,"ENAMEL, RED, 11136, GLOSS, AEROSOL",N,"Coating/painting, multiple operations",NON-AEROSPACE SURFACE COATING,50,125,009B-Z04,OC-ALC/MAB,
8010CS64R507@T,WATER REDUCIBLE WIPING STAIN,N,"Coating/painting, multiple operations","COATING/PAINTING, MULTIPLE OPERATIONS",100,125,257A-Z01,552 ACW,
8040002254548,"ADHESIVE, SILICONE, GENERAL PURPOSE, KIT",N,Adhering/bonding/sealing - all usages,056A-Z01 ADHERING/BONDING/SEALING,50,125,056A-Z01,550 CMMXS,
6810002865435,"ISOPROPYL ALCOHOL, TECHNICAL, GRADE A",N,"Cleaning, chemical, multiple operations","CLEANING, CHEMICAL, MULTIPLE OPERATIONS",50,55,416A-Z01,VQ-3,
8030011045392-1,"SEALANT, THREADLOCKING, BLUE",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,377A-Z03,PMXG,
8040LAA117U(53472)@T,WELD-ON 705 FOR PVC PLASTIC PIPE,N,"Facility maintenance, general","Facility maintenance, general",50,125,429B-Z01,CSCW-1,
8030004081137,"SEALER, CHEMICAL, GREEN",N,"Cleaning, chemical, multiple operations","Cleaning, chemical, multiple operations",50,125,416B-Z01,VQ-4,
8030004081137,"SEALER, CHEMICAL, GREEN",N,"Cleaning, chemical, multiple operations","CLEANING, CHEMICAL, MULTIPLE OPERATIONS",50,125,416B-Z01,VQ-4,
9130S044108992@T,DIESEL FUEL SUPPLEMENT PLUS CETANE BOOST,N,"Miscellaneous,  multiple operations","MISCELLANEOUS,  MULTIPLE OPERATIONS",50,125,414I-Z01,CSCW-1,
8010013316105,"ENAMEL, WHITE, 17875, GLOSS, AEROSOL",N,"Miscellaneous,  multiple operations","MISCELLANEOUS,  MULTIPLE OPERATIONS",50,125,414I-Z01,CSCW-1,
8010013316105,"ENAMEL, WHITE, 17875, GLOSS, AEROSOL",N,"Miscellaneous,  multiple operations","MISCELLANEOUS,  MULTIPLE OPERATIONS",50,125,414I-Z01,CSCW-1,
8010013316115,"ENAMEL, YELLOW, 13538, GLOSS, GENERAL PURPOSE, AEROSOL",N,"Miscellaneous,  multiple operations","MISCELLANEOUS,  MULTIPLE OPERATIONS",50,125,414I-Z01,CSCW-1,
K_8040-9563C(52152)@,1200 RTV PRIME COATING,N,"Miscellaneous,  multiple operations","MISCELLANEOUS,  MULTIPLE OPERATIONS",50,125,414I-Z01,CSCW-1,
K_8040-9563C(52152)@,1200 RTV PRIME COATING,N,"Miscellaneous,  multiple operations","MISCELLANEOUS,  MULTIPLE OPERATIONS",50,125,414I-Z01,CSCW-1,
3439CPAC2008P(0LBH6),ZIRCONIA ALLOY PAC2008P PLASMA POWDER,N,Plasma spraying,PLASMA SPRAYING,100,125,045G-Z02,PMXG,
9150PHM00084351,"LUBRICANT, HYDRAULIC FLUID, ISO 32",N,Preventive maintenance,MECHANCIAL REPAIR/INSTALLATION-SEALANTS/LUBRICANTS,100,10,022A-Z09,MXSG,
9150PHM00014320,"LUBRICANT, PASTE, BLUE",N,"Lubricating, multiple operations",LUBRICANT,100,18,042I-Z03,PMXG,
8040011329624,LOCKING COMPOUND,N,Adhering/bonding/sealing - squeeze tube,ADHESIVE/SEALANT,100,15,608A-Z01,PMXG,
6850002629042,SEALING COMPOUND,N,Adhering/bonding/sealing - all usages,056A-Z01 ADHERING/BONDING/SEALING,50,125,056A-Z01,550 CMMXS,
8030PHM00015845,"SEALANT, POLYURETHANE, WHITE, EXTERIOR",N,Adhering/bonding/sealing - all usages,USE OF SEALANTS AND ADHESIVES,100,72,999B-Z45,72 ABW/CECOIG,
6810PHM00106772,METHYL NORMAL PROPYL KETONE,N,"Cleaning, chemical, manual wiping","HAND WIPE CLEANING, AEROSPACE",33.3333,125,019B-Z01,567 AMXS,
8040PHM00008716,"ADHESIVE, RUBBER, CONSTRUCTION",N,"Cementing and related tasks, multiple operations","Cementing and related tasks, multiple operations",50,125,105A-Z01,72 ABW/CEF,
3439PHM00038780,"ELECTRODE, WELDING, SHIELDING ARC, 3/32""",N,"Welding, multiple operations",WELDING/ SOLDERING/ BRAZING NON-AEROSPACE,100,125,022A-Z01,MXSG,
9150002500926,"PETROLATUM, TECHNICAL",N,"Lubricating, multiple operations",064A-Z01 LUBRICANTS,100,125,064A-Z01,552 CMMXS,
8030013885606,"PRIMER,SEALING COMPOUND",N,Adhering/bonding/sealing - all usages,"073A-Z04 ADHESIVE/SEALANT USE, AEROSPACE",100,125,073A-Z04,552 CMMXS,
5610PHM00053297,"CEMENT, FAST SETTING",N,Preventive maintenance,MECHANCIAL REPAIR/INSTALLATION-SEALANTS/LUBRICANTS,100,25,022A-Z09,MXSG,
6850PHM00416456,"HEXANES, PRACTICAL, H1011",N,Multiple operations,MULTIPLE OPERATIONS,100,125,054H-Z01,72 ABW,
6850008807616,"SILICONE COMPOUND, CORROSION INHIBITOR",N,Adhering/bonding/sealing - all usages,063A-Z01 ADHESIVES/SEALANTS,100,12,063A-Z01,552 CMMXS,
6830PHM00029817,"CALIBRATION GAS, ISOBUTYLENE IN AIR",N,"Testing, NOC",TESTING,100,125,999B-Z66,72 ABW,
6850PHM00510196,"ANTIFREEZE, COOLANT, PREDILUTED 50/50",N,"Structure fabrication/renovation, multiple operations",CONSTRUCTION OPERATIONS,100,125,999B-Z49,72 ABW,
8010PHM00045300,"LATEX, RED SEA, AEROSOL",N,"Coating/painting, multiple operations",PAINTING (OUTDOORS),100,125,999B-Z37,72 ABW/CECOUF,
9150PHM00068533,"DRY LUBRICANT, RELEASE AGENT, AEROSOL",N,Physical testing,LIQUID ANALYSIS,100,125,054C-Z01,MXSG,
6830PHM00306689,"COMPRESSED GAS, NONFLAMMABLE GAS MIXTURE: NITROGEN 99% / OXYGEN 1-9999PPM",N,"Welding, gas tungsten arc welding (TIG)",TIG WELDING,100,18,051F-Z01,548 PMXS,
8030007535005,"SEALING COMPOUND, AIRCRAFT INTEGRAL FUEL TANK, KIT",N,Adhering/bonding/sealing - all usages,ADHERING/BONDING/SEALING - ALL USAGES,50,125,150A-Z01,552 MXS,
3439LAB036V(27911)@T,95/5 ROSIN CORE,N,"Electrical, NOC",ELECTRICAL,100,125,999B-Z62,72 ABW,
6850PHM00002873,"CLEANER, PVC PIPE",N,"Plumbing, NOC",PLUMBING,100,48,999B-Z65,72 ABW/CEF,
7930PHM00007575,"CLEANING COMPOUND, GLASS CLEANER, AEROSOL",N,"Equipment repair/prev. maint., NOC",EQUIPMENT MAINTENANCE *,100,30,999B-Z72,72 ABW/CE/TRACE,
7930PHM00512051,KIKI'S VANDALISM REMOVER,N,"Electrical, NOC",ELECTRICAL,100,125,999B-Z34,,
3439PHM00304534,"WELDING POWDER, INC 718",N,Plasma spraying,PLASMA SPRAYING,100,250,048C-Z01,PMXG,
3439005290743,"WELDING ROD, IRON/CHROMIUM ALLOY, 1/16"" DIA",N,"Welding, gas tungsten arc welding (TIG)",WELDING/SOLDERING/BRAZING AEROSPACE,100,6,375A-Z09,546 PMXS,
8030PHM00093605,"SEALANT, WHITE, POLYETHER",N,Adhering/bonding/sealing - all usages,USE OF SEALANTS AND ADHESIVES,100,80,999B-Z33,72 ABW/CECOS,
6830PHM00048870,"ACETYLENE, TECHNICAL",N,"Welding, NOC",WELDING / SOLDERING / BRAZING,100,12,999B-Z61,72 ABW/CECOPM,
9150PHM00025305,"LUBRICANT, OIL, AIR TOOL",N,"Lubricating, multiple operations",LUBRICANT,100,125,043F-Z02,PMXG,
